Field,Type,Frequency,Percent,Examples
blocks[].fields.checklists[].items[],Array,115304,89.97,
blocks[].fields.checklists[].items[].action_external,Boolean,518868,404.86,True | False
blocks[].fields.checklists[].items[].action_text,String,518868,404.86, | Edit Course Outline | Edit Grading Settings | Edit Course Team | Edit Course Details &amp; Schedule
blocks[].fields.checklists[].items[].action_url,String,518868,404.86, | ManageUsers | SettingsDetails | SettingsGrading | CourseOutline
blocks[].fields.checklists[].items[].is_checked,Boolean,518868,404.86,True | False
blocks[].fields.checklists[].items[].long_description,String,518868,404.86,"Set up your assignment types and grading policy even if you haven't created all your assignments. | Discover other available course authoring tools, and find help when you need it. | Establish your course's student enrollment and launch dates on the Schedule and Details page. | Grant your collaborators permission to edit your course so you can work together. | Use your course outline to build your first Section and Subsection."
blocks[].fields.checklists[].items[].short_description,String,518868,404.86,Create Your First Section and Subsection | Draft Your Course's Grading Policy | Set Important Dates for Your Course | Add Course Team Members | Explore the Other Studio Checklists
blocks[].fields.checklists[].short_description,String,115304,89.97,Explore edX's Support Tools | Getting Started With Studio | Draft a Rough Course Outline | Draft Your Course About Page
blocks[].fields.children,Array,13463091,10504.99,"[['chapter', 'a19892efc35d439bb16e8688725719d8']] | [] | [['chapter', 'bde175ec355d40df8baea6cebda3b0e4']] | [['chapter', '23dd0a132dde4184aebd43b210b41be9']] | [['chapter', 'a19892efc35d439bb16e8688725719d8'], ['chapter', '7d3e3d71d7a0418bbd404005c59ca165']]"
blocks[].fields.children[],Array,13463091,10504.99,
blocks[].fields.children[][],Array,18187534,14191.38,
blocks[].fields.cosmetic_display_price,Integer,7126,5.56,0 | 50 | 87
blocks[].fields.course_image,String,115436,90.07,Lighthouse.jpg | plata-equipo-base-de-datos-de-icono--psd_30-2460.jpg | git-logo.png | javascript-logo-png.png | medio ambiente.jpg
blocks[].fields.custom_parameters,Array,199,0.16,"['""cursoEva:6763807d-7d9b-4d91-aa74-79d4173723ff:QPfrT1zusmX523fy5tVCpmho63J3egNy5S5E9li7""'] | ['cursoEva=6763807d-7d9b-4d91-aa74-79d4173723ff:QPfrT1zusmX523fy5tVCpmho63J3egNy5S5E9li7'] | ['""acceScorm:93ef32e4-ba32-4603-93e2-b232e0b6e85c:E53j24DXHuejIypu43tdNLZz0CTA6ESuDZ7j8CrN""'] | ['""93ef32e4-ba32-4603-93e2-b232e0b6e85c:E53j24DXHuejIypu43tdNLZz0CTA6ESuDZ7j8CrN""'] | ['""cursoEva=6763807d-7d9b-4d91-aa74-79d4173723ff:QPfrT1zusmX523fy5tVCpmho63J3egNy5S5E9li7""']"
blocks[].fields.custom_parameters[],Array,199,0.16,
blocks[].fields.days_early_for_beta,Null,2112,1.65,None | 0 | 10
blocks[].fields.default_tab,Null,2424,1.89,None |  | Contenidos | Course
blocks[].fields.description,String,1816,1.42,DEMO | NO SE SOLICITA NADA | demodemo | Es una prueba | ScormEVA
blocks[].fields.disable_progress_graph,Boolean,2909,2.27,True | False
blocks[].fields.discussion_blackouts,Array,167,0.13,"['2016-10-20', '2016-10-22'] | [['2016-10-20', '2016-10-22']]"
blocks[].fields.discussion_blackouts[],Array,167,0.13,
blocks[].fields.discussion_blackouts[][],Array,165,0.13,
blocks[].fields.discussion_category,String,99884,77.94,Introdución a JavaScript | Módulo 4 | Módulo 0: Introducción. | Actividades. | Módulo 2
blocks[].fields.discussion_id,String,22161,17.29,edx_demo_embedded_discussion | c49f0dfb8fc94c9c8d9999cc95190c56 | 98d8feb5971041a085512ae22b398613 | b770140a122741fea651a50362dee7e6 | e252d4de97c7426e8b67ff516a9962f6
blocks[].fields.discussion_sort_alpha,Boolean,4020,3.14,True
blocks[].fields.discussion_target,String,101459,79.17,Powtoon | Ejercicio: Elaboración de una rúbrica | Link de actividad Mindmeister. | Presentación | Que puedo hacer con JavaScript
blocks[].fields.discussion_topics,Object,128155,100.0,"{'General': {'id': 'i4x-edX-Open_DemoX-course-edx_demo_course'}} | {'General': {'id': 'course'}} | {'Fuera de foco': {'id': 'course_fuera'}, 'Trucos chéveres con R o RStudio': {'id': 'course_trucos'}, 'Preguntas sobre el curso': {'id': 'course_preg' | {'Fuera de foco': {'id': 'course_fuera'}, 'Preguntas sobre el curso': {'id': 'course_preg'}, 'General': {'id': 'course'}} | {'Preguntas sobre el curso': {'id': 'course_preg'}, 'General': {'id': 'course'}}"
blocks[].fields.discussion_topics.Calificación,Object,1395,1.09,{'id': 'course_calif'}
blocks[].fields.discussion_topics.Calificación.id,String,1395,1.09,course_calif
blocks[].fields.discussion_topics.Dudas,Object,1529,1.19,{'id': 'gp-dudas'}
blocks[].fields.discussion_topics.Dudas Reto-1,Object,2,0.0,{'id': 'gp-dudas'}
blocks[].fields.discussion_topics.Dudas Reto-1.id,String,2,0.0,gp-dudas
blocks[].fields.discussion_topics.Dudas.id,String,1529,1.19,gp-dudas
blocks[].fields.discussion_topics.ForoRetos,Object,170,0.13,{'id': 'course'}
blocks[].fields.discussion_topics.ForoRetos.id,String,170,0.13,course
blocks[].fields.discussion_topics.Fuera de foco,Object,1442,1.13,{'id': 'course_fuera'}
blocks[].fields.discussion_topics.Fuera de foco.id,String,1442,1.13,course_fuera
blocks[].fields.discussion_topics.General,Object,127985,99.86,{'id': 'course-v1:UTPL+TC2016+2016_P1'} | {'id': 'i4x-edX-Open_DemoX-course-edx_demo_course'} | {'id': 'course'} | {'id': 'i4x-ModalidaAbiertaDistancia-Test01-course-2015_test'}
blocks[].fields.discussion_topics.General.id,String,127985,99.86,course | i4x-ModalidaAbiertaDistancia-Test01-course-2015_test | course-v1:UTPL+TC2016+2016_P1 | i4x-edX-Open_DemoX-course-edx_demo_course
blocks[].fields.discussion_topics.Preguntas frecuentes,Object,1527,1.19,{'id': 'preguntas'}
blocks[].fields.discussion_topics.Preguntas frecuentes.id,String,1527,1.19,preguntas
blocks[].fields.discussion_topics.Preguntas sobre el curso,Object,1467,1.14,{'id': 'course_preg'}
blocks[].fields.discussion_topics.Preguntas sobre el curso.id,String,1467,1.14,course_preg
blocks[].fields.discussion_topics.Trucos chéveres con R o RStudio,Object,1401,1.09,{'id': 'course_trucos'}
blocks[].fields.discussion_topics.Trucos chéveres con R o RStudio.id,String,1401,1.09,course_trucos
blocks[].fields.display_name,String,16278427,12701.74,Cuidado al medio ambiente | Sección | Auditoría Informática | Introducción a JavaScrit | overview
blocks[].fields.display_organization,String,281,0.22,Loja Valle de Tecnología | Loxa Valle de Tecnología
blocks[].fields.download_track,Boolean,3780,2.95,True | False
blocks[].fields.download_video,Boolean,1123359,876.54,True | False
blocks[].fields.due,Date,250643,195.57,{'$date': '2015-09-30T09:00:00.000-0500'} | {'$date': '2015-09-09T07:30:00.000-0500'} | {'$date': '2015-08-25T19:00:00.000-0500'} | {'$date': '2015-09-30T07:30:00.000-0500'} | {'$date': '2015-08-25T18:30:00.000-0500'}
blocks[].fields.due.$date,String,249944,195.03,2015-08-25T19:00:00.000-0500 | 2015-09-30T09:00:00.000-0500 | 2015-09-30T07:30:00.000-0500 | 2015-08-25T18:30:00.000-0500 | 2015-09-09T07:30:00.000-0500
blocks[].fields.editor,String,95092,74.2,visual | raw
